from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:monomodalStopPlace:472778,IDFM:472432,2,192
IDFM:22162,IDFM:21969,2,133
IDFM:monomodalStopPlace:47917,IDFM:472965,2,120
IDFM:monomodalStopPlace:422065,IDFM:monomodalStopPlace:470996,2,137
IDFM:22364,IDFM:463159,2,360
IDFM:462946,IDFM:463316,2,266
IDFM:472008,IDFM:471280,2,51
IDFM:463024,IDFM:monomodalStopPlace:43072,2,240
IDFM:463127,IDFM:22177,2,0
IDFM:462995,IDFM:462998,2,119
IDFM:monomodalStopPlace:43113,IDFM:monomodalStopPlace:473259,2,38
IDFM:463280,IDFM:22003,2,12
IDFM:463182,IDFM:471607,2,234
IDFM:22218,IDFM:471064,2,343
IDFM:22056,IDFM:463084,2,354
IDFM:471950,IDFM:471968,2,78
IDFM:470860,IDFM:monomodalStopPlace:43244,2,172
IDFM:22072,IDFM:463067,2,11
IDFM:22007,IDFM:471950,2,375
IDFM:472737,IDFM:monomodalStopPlace:477262,2,170
IDFM:463304,IDFM:22044,2,13
IDFM:22137,IDFM:462998,2,376
IDFM:471039,IDFM:472714,2,96
IDFM:22218,IDFM:28984,2,195
IDFM:490848,IDFM:22380,2,308
IDFM:monomodalStopPlace:43244,IDFM:471185,2,254
IDFM:22179,IDFM:monomodalStopPlace:58757,2,368
IDFM:monomodalStopPlace:43244,IDFM:470860,2,172
IDFM:472013,IDFM:28984,2,354
IDFM:monomodalStopPlace:473356,IDFM:470900,2,33
IDFM:471709,IDFM:monomodalStopPlace:411317,2,2
IDFM:471176,IDFM:471027,2,86
IDFM:monomodalStopPlace:47181,IDFM:monomodalStopPlace:473479,2,58
IDFM:22087,IDFM:monomodalStopPlace:44877,2,780
IDFM:472060,IDFM:monomodalStopPlace:411440,2,17
IDFM:472625,IDFM:470761,2,8
IDFM:21952,IDFM:22118,2,242
IDFM:monomodalStopPlace:473596,IDFM:monomodalStopPlace:47588,2,148
IDFM:472273,IDFM:21962,2,325
IDFM:463048,IDFM:21925,2,285
IDFM:22151,IDFM:22158,2,106
IDFM:monomodalStopPlace:48489,IDFM:3740,2,184
IDFM:monomodalStopPlace:45873,IDFM:22030,2,240
IDFM:470734,IDFM:470947,2,161
IDFM:471604,IDFM:470734,2,26
IDFM:22364,IDFM:21959,2,360
IDFM:463180,IDFM:22082,2,300
IDFM:monomodalStopPlace:43225,IDFM:monomodalStopPlace:474207,2,142
IDFM:472030,IDFM:472950,2,82
IDFM:463083,IDFM:22229,2,2
IDFM:monomodalStopPlace:47172,IDFM:monomodalStopPlace:47171,2,114
IDFM:471066,IDFM:monomodalStopPlace:411498,2,26
IDFM:463161,IDFM:monomodalStopPlace:44877,2,349
IDFM:463048,IDFM:463059,2,294
IDFM:monomodalStopPlace:473255,IDFM:monomodalStopPlace:47884,2,79
IDFM:22123,IDFM:463120,2,0
IDFM:472570,IDFM:472890,2,21
IDFM:471604,IDFM:470879,2,25
IDFM:463021,IDFM:22148,2,83
IDFM:22087,IDFM:22092,2,113
IDFM:monomodalStopPlace:473078,IDFM:monomodalStopPlace:43144,2,67
IDFM:22114,IDFM:22059,2,299
IDFM:472950,IDFM:471482,2,31
IDFM:monomodalStopPlace:473616,IDFM:monomodalStopPlace:58793,2,112
IDFM:471064,IDFM:monomodalStopPlace:58566,2,66
IDFM:monomodalStopPlace:58718,IDFM:22218,2,300
IDFM:22007,IDFM:491411,2,198
IDFM:471709,IDFM:471404,2,30
IDFM:463074,IDFM:462981,2,156
IDFM:22184,IDFM:463169,2,180
IDFM:491411,IDFM:22007,2,198
IDFM:472890,IDFM:471473,2,58
IDFM:463171,IDFM:22147,2,0
IDFM:471886,IDFM:470729,2,60
IDFM:17896,IDFM:471958,2,120
IDFM:463065,IDFM:22054,2,0
IDFM:480330,IDFM:480290,2,13
IDFM:471856,IDFM:470833,2,8
IDFM:22059,IDFM:22114,2,299
IDFM:monomodalStopPlace:473406,IDFM:monomodalStopPlace:45739,2,95
IDFM:monomodalStopPlace:45493,IDFM:480286,2,240
IDFM:471867,IDFM:monomodalStopPlace:43245,2,21
IDFM:22108,IDFM:463266,2,3
IDFM:472570,IDFM:472865,2,90
IDFM:470776,IDFM:472142,2,19
IDFM:28794,IDFM:41804,2,68
IDFM:21964,IDFM:463189,2,303
IDFM:462995,IDFM:22145,2,10
IDFM:463310,IDFM:22054,2,373
IDFM:monomodalStopPlace:470519,IDFM:22148,2,240
IDFM:monomodalStopPlace:415484,IDFM:18739,2,218
IDFM:463151,IDFM:22057,2,180
IDFM:21997,IDFM:463122,2,123
IDFM:463112,IDFM:21955,2,12
IDFM:monomodalStopPlace:473175,IDFM:monomodalStopPlace:43108,2,113
IDFM:470947,IDFM:471607,2,153
IDFM:462994,IDFM:22136,2,137
IDFM:27153,IDFM:monomodalStopPlace:43227,2,350
IDFM:monomodalStopPlace:43251,IDFM:25609,2,215
IDFM:21971,IDFM:21982,2,368
IDFM:21962,IDFM:471063,2,278
IDFM:monomodalStopPlace:58720,IDFM:472961,2,366
IDFM:471404,IDFM:472914,2,59
IDFM:472110,IDFM:462970,2,321
IDFM:monomodalStopPlace:44514,IDFM:22219,2,240
IDFM:monomodalStopPlace:473466,IDFM:monomodalStopPlace:47877,2,128
IDFM:monomodalStopPlace:471031,IDFM:21981,2,244
IDFM:monomodalStopPlace:47910,IDFM:472979,2,62
IDFM:462955,IDFM:22156,2,11
IDFM:471185,IDFM:470860,2,82
IDFM:21959,IDFM:21966,2,420
IDFM:462986,IDFM:22029,2,9
IDFM:22175,IDFM:463105,2,0
IDFM:monomodalStopPlace:473172,IDFM:monomodalStopPlace:47929,2,38
IDFM:24680,IDFM:22118,2,146
IDFM:21970,IDFM:463083,2,144
IDFM:471063,IDFM:28984,2,327
IDFM:22082,IDFM:21931,2,300
IDFM:22052,IDFM:22132,2,172
IDFM:463054,IDFM:463048,2,300
IDFM:monomodalStopPlace:473103,IDFM:monomodalStopPlace:43154,2,136
IDFM:463226,IDFM:22206,2,13
IDFM:21903,IDFM:462961,2,10
IDFM:462999,IDFM:22012,2,12
IDFM:471877,IDFM:monomodalStopPlace:43168,2,13
IDFM:463269,IDFM:22400,2,12
IDFM:462989,IDFM:463037,2,344
IDFM:462990,IDFM:21948,2,11
IDFM:471341,IDFM:471064,2,14
IDFM:471220,IDFM:472370,2,31
IDFM:22142,IDFM:463072,2,22
IDFM:monomodalStopPlace:473374,IDFM:monomodalStopPlace:45745,2,123
IDFM:494021,IDFM:21784,2,43
IDFM:463079,IDFM:463159,2,420
IDFM:monomodalStopPlace:473296,IDFM:423185,2,83
IDFM:463106,IDFM:22391,2,349
IDFM:463069,IDFM:471063,2,288
IDFM:17896,IDFM:471925,2,172
IDFM:21902,IDFM:463316,2,258
IDFM:monomodalStopPlace:473064,IDFM:471220,2,147
IDFM:monomodalStopPlace:43099,IDFM:3646,2,226
IDFM:monomodalStopPlace:473499,IDFM:monomodalStopPlace:58288,2,114
IDFM:494271,IDFM:monomodalStopPlace:412743,2,245
IDFM:22242,IDFM:463302,2,11
IDFM:471022,IDFM:470817,2,63
IDFM:28984,IDFM:471063,2,327
IDFM:471691,IDFM:22149,2,364
IDFM:462950,IDFM:22043,2,2
IDFM:488016,IDFM:22149,2,423
IDFM:463313,IDFM:463264,2,63
IDFM:monomodalStopPlace:473106,IDFM:monomodalStopPlace:43088,2,37
IDFM:472217,IDFM:470860,2,89
IDFM:monomodalStopPlace:43072,IDFM:471335,2,99
IDFM:471950,IDFM:471482,2,52
IDFM:21974,IDFM:463234,2,120
IDFM:471335,IDFM:472865,2,37
IDFM:22218,IDFM:462969,2,179
IDFM:471607,IDFM:491411,2,317
IDFM:22145,IDFM:21978,2,86
IDFM:22032,IDFM:471150,2,319
IDFM:monomodalStopPlace:47124,IDFM:33584,2,203
IDFM:490839,IDFM:490849,2,7
IDFM:21968,IDFM:463078,2,60
IDFM:21963,IDFM:463189,2,345
IDFM:463199,IDFM:monomodalStopPlace:470540,2,240
IDFM:monomodalStopPlace:473242,IDFM:monomodalStopPlace:43245,2,153
IDFM:monomodalStopPlace:411440,IDFM:472051,2,12
IDFM:472344,IDFM:471473,2,183
IDFM:463182,IDFM:472861,2,301
IDFM:21963,IDFM:471063,2,356
IDFM:24682,IDFM:463254,2,79
IDFM:22032,IDFM:471063,2,282
IDFM:471691,IDFM:472354,2,112
IDFM:472543,IDFM:472483,2,359
IDFM:463183,IDFM:monomodalStopPlace:462394,2,151
IDFM:472034,IDFM:472378,2,10
IDFM:463036,IDFM:463037,2,180
IDFM:33956,IDFM:472684,2,179
IDFM:471335,IDFM:472582,2,12
IDFM:471030,IDFM:472865,2,159
IDFM:monomodalStopPlace:473426,IDFM:monomodalStopPlace:43178,2,230
IDFM:462971,IDFM:monomodalStopPlace:58566,2,240
IDFM:463001,IDFM:463021,2,55
IDFM:480330,IDFM:463212,2,180
IDFM:463294,IDFM:463293,2,180
IDFM:21963,IDFM:21962,2,180
IDFM:463158,IDFM:463160,2,125
IDFM:483423,IDFM:483314,2,4
IDFM:21964,IDFM:472142,2,363
IDFM:471199,IDFM:monomodalStopPlace:43134,2,11
IDFM:22125,IDFM:463113,2,0
IDFM:21970,IDFM:22229,2,152
IDFM:471691,IDFM:472950,2,101
IDFM:21969,IDFM:463194,2,157
IDFM:monomodalStopPlace:427870,IDFM:471399,2,115
IDFM:monomodalStopPlace:473619,IDFM:monomodalStopPlace:43222,2,128
IDFM:monomodalStopPlace:473465,IDFM:3835,2,5
IDFM:470879,IDFM:470947,2,110
IDFM:monomodalStopPlace:427872,IDFM:471095,2,7
IDFM:471658,IDFM:471150,2,137
IDFM:463239,IDFM:462956,2,367
IDFM:monomodalStopPlace:58720,IDFM:491411,2,20
IDFM:470975,IDFM:monomodalStopPlace:43227,2,41
IDFM:monomodalStopPlace:479059,IDFM:472945,2,74
IDFM:472217,IDFM:472625,2,45
IDFM:21981,IDFM:471473,2,335
IDFM:471607,IDFM:470734,2,7
IDFM:42112,IDFM:42102,2,15
IDFM:472737,IDFM:472407,2,9
IDFM:21937,IDFM:462960,2,10
IDFM:471128,IDFM:473009,2,83
IDFM:monomodalStopPlace:473072,IDFM:monomodalStopPlace:43090,2,154
IDFM:463069,IDFM:472110,2,346
IDFM:22143,IDFM:462996,2,10
IDFM:monomodalStopPlace:47924,IDFM:monomodalStopPlace:473033,2,140
IDFM:463060,IDFM:monomodalStopPlace:45102,2,480
IDFM:471607,IDFM:463001,2,377
IDFM:472950,IDFM:472861,2,99
IDFM:monomodalStopPlace:464040,IDFM:482915,2,18
IDFM:21962,IDFM:470776,2,329
IDFM:462972,IDFM:monomodalStopPlace:58566,2,240
IDFM:472570,IDFM:monomodalStopPlace:471031,2,174
IDFM:470604,IDFM:470774,2,11
IDFM:463163,IDFM:22189,2,12
IDFM:472026,IDFM:35253,2,67
IDFM:491411,IDFM:472378,2,368
IDFM:22026,IDFM:21902,2,258
IDFM:monomodalStopPlace:473109,IDFM:monomodalStopPlace:43155,2,92
IDFM:monomodalStopPlace:46366,IDFM:471945,2,19
IDFM:13176,IDFM:471784,2,55
IDFM:412354,IDFM:22059,2,180
IDFM:472519,IDFM:462972,2,280
IDFM:472344,IDFM:monomodalStopPlace:471031,2,172
IDFM:472137,IDFM:470974,2,8
IDFM:monomodalStopPlace:58572,IDFM:471691,2,246
IDFM:463183,IDFM:472378,2,376
IDFM:472780,IDFM:monomodalStopPlace:461504,2,27
IDFM:471022,IDFM:472030,2,122
IDFM:monomodalStopPlace:473356,IDFM:monomodalStopPlace:47585,2,32
IDFM:monomodalStopPlace:473448,IDFM:480340,2,188
IDFM:monomodalStopPlace:46387,IDFM:471630,2,10
IDFM:470833,IDFM:22387,2,377
IDFM:471709,IDFM:471822,2,27
IDFM:471950,IDFM:491411,2,371
IDFM:22376,IDFM:463249,2,13
IDFM:472414,IDFM:472780,2,14
IDFM:427044,IDFM:480208,2,80
IDFM:monomodalStopPlace:473190,IDFM:472783,2,67
IDFM:21904,IDFM:463239,2,63
IDFM:462970,IDFM:472142,2,328
IDFM:22145,IDFM:462995,2,10
IDFM:monomodalStopPlace:463857,IDFM:471552,2,343
