CODE_UIC;DESCRIPTION;LOCALITY_UIC
87644120;ESVRES CHAMPGAULT;
87644138;ESVRES CHENE PENDU;
87644146;ESVRES LES RECAIS;
87644153;ESVRES SAINT MALO;
87644161;ESVRES VAUGUINIER;
87644179;LOCHES LEP;
87644187;LOCHES LYCEE SAINT DENIS;
87644195;LOCHES SAINT-JACQUES;
87644104;COURCAY ROUVRE;
87644112;COURCAY VILLETIVRAIN;
70544809;EASTBOURNE;
71372003;CIUDAD REAL;
83047118;PIEVE LIGURE;
83047134;MULINETTI;
83047142;RECCO;
83047167;CAMOGLI-S. FRUTTUOSO;
83047183;S. MARGHERITA LIGURE-PORTOFINO;
83047001;GENOVA PIAZZA PRINCIPE;
83047027;GENOVA BRIGNOLE;
83047043;GENOVA QUARTO DEI MILLE;
83047050;GENOVA QUINTO AL MARE;
83047076;GENOVA NERVI;
83047316;LEVANTO;
83047324;MONTEROSSO;
83047332;VERNAZZA;
83047340;CORNIGLIA;
83047357;MANAROLA;
83047365;RIOMAGGIORE;
88963884;BISSEGEM;
80154542;ERFTSTADT;
88963702;WEVELGEM;
80154583;KOLN HBF;80980500
83047209;RAPALLO;
83047225;CHIAVARI;
83047233;LAVAGNA;
83047241;CAVI;
83047258;SESTRI LEVANTE;
80154690;KOLN SUD;80980500
87394007;CHARTRES;28039400
87394015;LUCE;
22380006;MUKACHEVO;
71132000;BILBAO-ABANDO INDALECIO PRIETO;
88963967;WERVIK;
80154815;BRUHL;
80154856;BONN HBF;80980192
87394205;AMILLY OUERRAY;
87394213;SAINT-AUBIN - SAINT-LUPERCE;
87394221;COURVILLE-SUR-EURE;
87394247;PONTGOUIN;
87394254;LA LOUPE;
87394270;BRETONCELLES;
87394288;CONDE-SUR-HUISNE;
87394296;NOGENT-LE-ROTROU;
70939702;DUNBAR;
52160002;SOFIA;52916000
87394114;EPERNON;28394110
87394130;MAINTENON;28394130
87394148;SAINT-PIAT;28394170
87394155;JOUY;28394150
87394171;LA VILLETTE SAINT-PREST;28394140
56174755;KRA OVANY;
22380105;CHOP;
80154906;BONN BAD GODESBERG;80980192
87394403;LA TAYE;
87394411;BAILLEAU-LE-PIN;
87394429;MAGNY - BLANDAINVILLE;
87394437;ILLIERS-COMBRAY;
87394452;BROU;
87394486;ARROU;
87394494;COURTALAIN - SAINT-PELLERIN;
88963050;MENEN;
54369553;ZNOJMO;
80154237;WEILERSWIST;
80154278;EUSKIRCHEN;
74025296;LANGSELE;
80154310;MECHERNICH;
80154336;KALL;
87395814;CLERMONT-FERRAND PASSERELLE SNCF;63073400
87395822;SAINT-FLOUR LES ALLEES;15078317
87395830;LE BREUIL-SUR-COUZE LYCEE AGRICOLE;63073422
87395848;LA-CHAISE-DIEU ECOLE HOTELIERE;43073463
87645440;VIC-SUR-CERE;
87405753;TOUL GARE ROUTIERE;54014104
87645473;LE LIORAN;
87645481;MURAT;
87645408;ARPAJON-SUR-CERE;
87405746;NEUFCHATEAU HOPITAL;88040574
87405712;BARISEY-LA-COTE MAIRIE;54014175
87645432;POLMINHAC;
87395749;THIERS LYCEE;63073447
87395756;AMBERT;63073457
87645507;NEUSSARGUES;
87645192;LE ROUGET;
87405993;MIRECOURT LYCEE AGRICOLE;88014421
87645267;MAURIAC;15064526
87645275;JALEYRAC - SOURNIAC;
87645283;VENDES;
87645291;LARGNAC;
87395939;LA CHAISE-DIEU MAIRIE;43073463
87395947;MAURIAC LYCEE CORTAT;15064526
87395962;SAINTE-FLORINE LYCEE CLAUDE FAVARD;43040952
56176958;POVAZSKA BYSTRICA;
87645663;RIOM-ES-MONTAGNES;
87645689;SAINT-ETIENNE - MENET;
71373118;CABEZA DEL BUEY;
87645705;BORT-LES-ORGUES;
71373084;GUADALMEZ-LOS PEDROCHES;
80153213;KOLN EHRENFELD;80980500
71373050;ALMADENEJOS-ALMADEN;
71373001;PUERTOLLANO;
80153254;FRECHEN-KONIGSDORF;
71373027;BRAZATORTAS;
80153270;HORREM;
80153304;DUREN;
80153361;ESCHWEILER HBF;
80153387;STOLBERG (RHEINL) HBF;
74026112;MALMO C;
80153429;AACHEN ROTHE ERDE;80980101
80153452;AACHEN HBF;80980101
87405068;MARIOL;
87645002;AURILLAC;
87645119;VIESCAMP-SOUS-JALLES;
87645135;LAROQUEBROU;
87645143;LAMATIVIE;
87645150;LACAPELLE-VIESCAMP;
87645168;MAURS;
87645176;PERS;
87645184;BOISSET;
87645101;YTRAC;
87395657;BRASSAC-LES-MINES LYCEE RABELAIS;
87395665;ISSOIRE LYCEE DEVILLE;63073420
87395673;ISSOIRE LYCEE MURAT;63073420
87405571;ANZELING CARREFOUR;57019138
94484055;CELORICO DA BEIRA;
74026930;MJOLBY;
74026864;SVAGERTORP;
51083105;PRZEWORSK;
74026740;MELLERUD;
51083261;JAROS AW;
